make,fuel-type,num-of-doors,body-style,drive-wheels,engine-size,horsepower,city-mpg,highway-mpg,price
porsche,gas,two,hardtop,rwd,194,207.0,17,25,32528.0
porsche,gas,two,hardtop,rwd,194,207.0,17,25,34028.0
porsche,gas,two,convertible,rwd,194,207.0,17,25,37028.0
renault,gas,four,wagon,fwd,132,95.0,23,31,9295.0
renault,gas,two,hatchback,fwd,132,95.0,23,31,9895.0
saab,gas,two,hatchback,fwd,121,110.0,21,28,11850.0
saab,gas,four,sedan,fwd,121,110.0,21,28,12170.0
saab,gas,two,hatchback,fwd,121,110.0,21,28,15040.0
saab,gas,four,sedan,fwd,121,110.0,21,28,15510.0
saab,gas,two,hatchback,fwd,121,160.0,19,26,18150.0
saab,gas,four,sedan,fwd,121,160.0,19,26,18620.0
subaru,gas,two,hatchback,fwd,97,69.0,31,36,5118.0
subaru,gas,two,hatchback,fwd,108,73.0,26,31,7053.0
subaru,gas,two,hatchback,4wd,108,73.0,26,31,7603.0
subaru,gas,four,sedan,fwd,108,82.0,32,37,7126.0
subaru,gas,four,sedan,fwd,108,82.0,28,33,7775.0
subaru,gas,four,sedan,fwd,108,94.0,26,32,9960.0
subaru,gas,four,sedan,4wd,108,82.0,24,25,9233.0
subaru,gas,four,sedan,4wd,108,111.0,24,29,11259.0
subaru,gas,four,wagon,fwd,108,82.0,28,32,7463.0
subaru,gas,four,wagon,fwd,108,94.0,25,31,10198.0
subaru,gas,four,wagon,4wd,108,82.0,23,29,8013.0
subaru,gas,four,wagon,4wd,108,111.0,23,23,11694.0
toyota,gas,two,hatchback,fwd,92,62.0,35,39,5348.0
toyota,gas,two,hatchback,fwd,92,62.0,31,38,6338.0
toyota,gas,four,hatchback,fwd,92,62.0,31,38,6488.0
toyota,gas,four,wagon,fwd,92,62.0,31,37,6918.0
toyota,gas,four,wagon,4wd,92,62.0,27,32,7898.0
toyota,gas,four,wagon,4wd,92,62.0,27,32,8778.0
toyota,gas,four,sedan,fwd,98,70.0,30,37,6938.0
toyota,gas,four,hatchback,fwd,98,70.0,30,37,7198.0
toyota,diesel,four,sedan,fwd,110,56.0,34,36,7898.0
toyota,diesel,four,hatchback,fwd,110,56.0,38,47,7788.0
toyota,gas,four,sedan,fwd,98,70.0,38,47,7738.0
toyota,gas,four,hatchback,fwd,98,70.0,28,34,8358.0
toyota,gas,four,sedan,fwd,98,70.0,28,34,9258.0
toyota,gas,two,sedan,rwd,98,70.0,29,34,8058.0
toyota,gas,two,hatchback,rwd,98,70.0,29,34,8238.0
toyota,gas,two,sedan,rwd,98,112.0,26,29,9298.0
toyota,gas,two,hatchback,rwd,98,112.0,26,29,9538.0
toyota,gas,two,hardtop,rwd,146,116.0,24,30,8449.0
toyota,gas,two,hardtop,rwd,146,116.0,24,30,9639.0
toyota,gas,two,hatchback,rwd,146,116.0,24,30,9989.0
toyota,gas,two,hardtop,rwd,146,116.0,24,30,11199.0
toyota,gas,two,hatchback,rwd,146,116.0,24,30,11549.0
toyota,gas,two,convertible,rwd,146,116.0,24,30,17669.0
toyota,gas,four,sedan,fwd,122,92.0,29,34,8948.0
toyota,diesel,four,sedan,fwd,110,73.0,30,33,10698.0
toyota,gas,four,hatchback,fwd,122,92.0,27,32,9988.0
toyota,gas,four,sedan,fwd,122,92.0,27,32,10898.0
toyota,gas,four,hatchback,fwd,122,92.0,27,32,11248.0
toyota,gas,two,hatchback,rwd,171,161.0,20,24,16558.0
toyota,gas,two,hatchback,rwd,171,161.0,19,24,15998.0
toyota,gas,four,sedan,rwd,171,156.0,20,24,15690.0
toyota,gas,four,wagon,rwd,161,156.0,19,24,15750.0
volkswagen,diesel,two,sedan,fwd,97,52.0,37,46,7775.0
volkswagen,gas,two,sedan,fwd,109,85.0,27,34,7975.0
volkswagen,diesel,four,sedan,fwd,97,52.0,37,46,7995.0
volkswagen,gas,four,sedan,fwd,109,85.0,27,34,8195.0
volkswagen,gas,four,sedan,fwd,109,85.0,27,34,8495.0
volkswagen,diesel,four,sedan,fwd,97,68.0,37,42,9495.0
volkswagen,gas,four,sedan,fwd,109,100.0,26,32,9995.0
volkswagen,gas,two,convertible,fwd,109,90.0,24,29,11595.0
volkswagen,gas,two,hatchback,fwd,109,90.0,24,29,9980.0
volkswagen,gas,four,sedan,fwd,136,110.0,19,24,13295.0
volkswagen,diesel,four,sedan,fwd,97,68.0,33,38,13845.0
volkswagen,gas,four,wagon,fwd,109,88.0,25,31,12290.0
volvo,gas,four,sedan,rwd,141,114.0,23,28,12940.0
volvo,gas,four,wagon,rwd,141,114.0,23,28,13415.0
volvo,gas,four,sedan,rwd,141,114.0,24,28,15985.0
volvo,gas,four,wagon,rwd,141,114.0,24,28,16515.0
volvo,gas,four,sedan,rwd,130,162.0,17,22,18420.0
volvo,gas,four,wagon,rwd,130,162.0,17,22,18950.0
volvo,gas,four,sedan,rwd,141,114.0,23,28,16845.0
volvo,gas,four,sedan,rwd,141,160.0,19,25,19045.0
volvo,gas,four,sedan,rwd,173,134.0,18,23,21485.0
volvo,diesel,four,sedan,rwd,145,106.0,26,27,22470.0
volvo,gas,four,sedan,rwd,141,114.0,19,25,22625.0
